표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7036490001","036490","에스케이 머티리얼즈","SK머티리얼즈","SK Materials Co., Ltd.","1999/12/14","KOSDAQ","주권","우량기업부","보통주","500","10547673"
"KR7307070003","307070","에스케이에이씨피씨제4호기업인수목적","SK4호스팩","SK ACPC NO.4 SPECIAL PURPOSE ACQUISITION CO., LTD.","2018/12/07","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5160000"
"KR7337450001","337450","에스케이제5호기업인수목적","SK5호스팩","SK NO.5 SPECIAL PURPOSE ACQUISITION CO., LTD.","2019/12/04","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","4310000"
"KR7340350008","340350","에스케이제6호기업인수목적","SK6호스팩","SK NO.6 SPECIAL PURPOSE ACQUISITION COMPANY","2020/03/11","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5710000"
"KR7096630009","096630","에스코넥","에스코넥","S Connect Co., LTD","2007/12/26","KOSDAQ","주권","우량기업부","보통주","200","65265724"
"KR7069510006","069510","에스텍","에스텍","ESTec Corporation","2003/11/14","KOSDAQ","주권","우량기업부","보통주","500","10910000"
"KR7041910001","041910","에스텍파마","에스텍파마","ESTECHPHARMA CO., LTD","2004/02/06","KOSDAQ","주권","벤처기업부","보통주","500","11898263"
"KR7234300002","234300","에스트래픽","에스트래픽","STraffic Co., Ltd.","2017/12/05","KOSDAQ","주권","중견기업부","보통주","500","20826160"
"KR7039440003","039440","에스티아이","에스티아이","Systems Technology Incorporated","2002/02/28","KOSDAQ","주권","우량기업부","보통주","500","15830000"
"KR7098660004","098660","에스티오","에스티오","STO Co., Ltd.","2009/04/17","KOSDAQ","주권","중견기업부","보통주","500","12500976"
"KR7052020005","052020","에스티큐브","에스티큐브","STCUBE","2001/07/05","KOSDAQ","주권","중견기업부","보통주","500","30385009"
"KR7237690003","237690","에스티팜","에스티팜","ST Pharm Co., Ltd.","2016/06/23","KOSDAQ","주권","우량기업부","보통주","500","18656000"
"KR7050760008","050760","에스폴리텍","에스폴리텍","S POLYTECH CO.,LTD.","2002/05/16","KOSDAQ","주권","중견기업부","보통주","500","16334678"
"KR7288620008","288620","에스퓨얼셀","에스퓨얼셀","S-Fuelcell Co., Ltd.","2018/10/15","KOSDAQ","주권","벤처기업부","보통주","500","6544316"
